concept_id,concept_en,gloss_en,total_mentions,literature_mentions,miviludes_mentions,interviews_mentions,n_corpora,is_generic
sc_0001,religious,concerned with sacred matters or religion or the church,2688,2677,1,10,3,true
sc_0002,movement,a group of people with a common ideology who try together to achieve certain general goals,1512,1510,1,1,3,true
sc_0003,church,one of the groups of Christians who have their own beliefs and forms of worship,1250,1244,2,4,3,true
sc_0004,cult,followers of an exclusive system of beliefs and practices,1229,1150,1,78,3,true
sc_0005,social,a party of people assembled to promote sociability and communal activity,1163,1159,4,0,2,true
sc_0006,group,any number of entities (members) considered as a unit,1129,1112,7,10,3,true
sc_0007,religion,a strong belief in a supernatural power or powers that control human destiny,1066,1050,1,15,3,true
sc_0008,people,(plural) any group of human beings (men or women or children) collectively,894,856,3,35,3,true
sc_0009,world,people in general; especially a distinctive group of people with some shared interest,888,881,4,3,3,true
sc_0010,spiritual,concerned with sacred matters or religion or the sacred,737,734,1,2,3,true
sc_0011,life,a characteristic state or mode of living,686,683,1,2,3,true
sc_0012,society,an extended social group having a distinctive cultural and economic organization,674,672,1,1,3,true
sc_0013,christian,relating to or characteristic of Christianity,621,618,0,3,2,true
sc_0014,self,your consciousness of your own identity,601,590,8,3,3,true
sc_0015,god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe,598,595,1,2,3,true
sc_0016,time,the continuum of experience in which events pass from the future through the present to the past,573,572,0,1,2,true
sc_0017,age,how long something has existed,572,568,2,2,3,true
sc_0018,leaders,the body of people who lead a group,562,558,3,1,3,true
sc_0019,control,power to direct or determine,498,494,3,1,3,true
sc_0020,followers,a group of followers or enthusiasts,490,487,2,1,3,true
sc_0021,violence,an act of aggression (as one against a person who resists),483,476,7,0,2,true
sc_0022,public,people in general considered as a whole,471,462,9,0,2,true
sc_0023,order,a group of people who are joined by profession or interest or principle,459,459,0,0,1,true
sc_0024,organization,a group of people who work together,448,448,0,0,1,true
sc_0025,authority,the power or right to give orders or make decisions,446,445,1,0,2,true
sc_0026,part,something determined in relation to something that includes it,430,414,11,5,3,true
sc_0027,family,a social unit living together,425,424,1,0,2,true
sc_0028,scientology,a new religion founded by L. Ron Hubbard in 1955 and characterized by a belief in the power of a person's spirit to clear itself of past painful experiences through self-knowledge and spiritual fulfillment,424,422,0,2,2,true
sc_0029,individual,"a human being; person, singular, assertive existential pronoun; pronoun, person, singular; quantifier: assertive existential",420,418,2,0,2,true
sc_0030,brainwashing,forcible indoctrination into a new set of attitudes and beliefs,417,414,0,3,2,true
sc_0031,use,the act of using,416,411,1,4,3,true
sc_0032,children,a young person of either sex,415,412,0,3,2,true
sc_0033,belief,any cognitive content held as true,411,404,0,7,2,true
sc_0034,community,"a group of people having a religion, ethnic, profession, or other particular characteristic in common",397,389,2,6,3,true
sc_0035,state,the group of people comprising the government of a sovereign state,394,393,1,0,2,true
sc_0036,process,a particular course of action intended to achieve a result,388,386,1,1,3,true
sc_0037,power,possession of controlling influence,386,383,2,1,3,true
sc_0038,different,unlike in nature or quality or form or degree,385,382,0,3,2,true
sc_0039,human,characteristic of humanity,381,377,3,1,3,true
sc_0040,work,activity directed toward making or doing something,379,377,0,2,2,true
sc_0041,political,involving or characteristic of politics or parties or politicians,374,374,0,0,1,true
sc_0042,practice,a customary way of operation or behavior,368,363,3,2,3,true
sc_0043,cultural,of or relating to the arts and manners that a group favors,366,365,0,1,2,true
sc_0044,personal,a short newspaper article about a particular person or group,360,356,3,1,3,true
sc_0045,term,a word or expression used for some particular thing,359,358,0,1,2,true
sc_0046,leadership,the activity of leading,352,350,0,2,2,true
sc_0047,number,the property possessed by a sum or total or indefinite quantity of units or individuals,351,350,1,0,2,true
sc_0048,used,employed in accomplishing something,347,343,2,2,3,true
sc_0049,traditional,consisting of or derived from tradition,340,340,0,0,1,true
sc_0050,system,a group of independent but interrelated elements comprising a unified whole,327,322,0,5,2,true
sc_0051,role,the actions and activities assigned to or required or expected of a person or group,322,322,0,0,1,true
sc_0052,nature,the essential qualities or characteristics by which something is recognized,318,312,6,0,2,true
sc_0053,membership,the body of members of an organization or group,317,316,1,0,2,true
sc_0054,study,a detailed critical inspection,314,314,0,0,1,true
sc_0055,media,a means or instrumentality for storing or communicating information,313,313,0,0,1,true
sc_0056,research,systematic investigation to establish facts,309,309,0,0,1,true
sc_0057,modern,a contemporary person,308,307,1,0,2,true
sc_0058,american,a native or inhabitant of the United States,304,303,0,1,2,true
sc_0059,found,food and lodging provided in addition to money,304,303,1,0,2,true
sc_0060,experience,the accumulation of knowledge or skill that results from direct participation in events or activities,301,300,1,0,2,true
sc_0061,important,of great significance or value,298,297,1,0,2,true
sc_0062,form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,294,292,2,0,2,true
sc_0063,established,brought about or set up or accepted; especially long established,290,288,1,1,3,true
sc_0064,less,(comparative of ‘little’ usually used with mass nouns) a quantifier meaning not as great in amount or degree,286,286,0,0,1,true
sc_0065,western,a film about life in the western United States during the period of exploration and development,284,284,0,0,1,true
sc_0066,law,the collection of rules imposed by authority,284,283,1,0,2,true
sc_0067,ritual,any customary observance or practice,281,281,0,0,1,true
sc_0068,early,at or near the beginning of a period of time or course of events or before the usual or expected time,277,277,0,0,1,true
sc_0069,case,a special set of circumstances,276,276,0,0,1,true
sc_0070,change,a relational difference between states; especially between states before and after some event,275,272,2,1,3,true
sc_0071,sexual,of or relating to or characterized by sexuality,273,271,2,0,2,true
sc_0072,culture,a particular society at a particular time and place,273,271,2,0,2,true
sc_0073,sense,a general conscious awareness,272,272,0,0,1,true
sc_0074,information,a message received and understood,271,267,4,0,2,true
sc_0075,science,a particular branch of scientific knowledge,270,268,2,0,2,true
sc_0076,government,the organization that is the governing authority of a political unit,268,268,0,0,1,true
sc_0077,thought,the content of cognition; the main thing you are thinking about,266,265,0,1,2,true
sc_0078,terms,status with respect to the relations between people or groups,264,264,0,0,1,true
sc_0079,alternative,one of a number of things from which only one can be chosen,261,257,3,1,3,true
sc_0080,level,a position on a scale of intensity or amount or quality,260,259,0,1,2,true
